scale,style_score_mean,style_score_std,style_score_count
0,90.3333,3.266,6
1000000,93.3333,2.582,6
1400000,91.5,3.7283,6
1800000,93.3333,4.0825,6
2200000,93.3333,2.582,6
2600000,91.6667,4.0825,6
3000000,91.6667,5.164,6
3400000,92.0,2.4495,6
3800000,85.8333,2.0412,6
