scale,style_score_mean,style_score_std,style_score_count
0,94.1667,2.0412,6
600000,93.3333,2.582,6
700000,95.0,0.0,6
800000,94.1667,2.0412,6
900000,95.0,0.0,6
1000000,95.0,0.0,6
1100000,94.1667,2.0412,6
1200000,92.5,2.7386,6
1300000,91.6667,4.0825,6
