scale,preservation_score_mean,preservation_score_std,preservation_score_count,effectiveness_score_mean,effectiveness_score_std
0,0.2312,0.0054,6,0.2006,0.0441
100000,0.2319,0.0051,6,0.186,0.0175
200000,0.2339,0.0036,6,0.1875,0.0151
300000,0.2355,0.0029,6,0.1876,0.0143
400000,0.2359,0.0031,6,0.185,0.0098
500000,0.2337,0.0063,6,0.1666,0.0167
600000,0.2287,0.0041,6,0.1274,0.013
700000,0.2454,0.0068,6,0.1439,0.0236
